품목명,업체명,허가번호,허가일자,제조수입구분,품목상태,허가신고구분코드,추적관리대상,제조원,취소취하일자
치과용임플란트고정체,(유)짐머바이오메트코리아,수허 21-246 호,20211021,수입,취소·취하,1,비대상,"Biomet 3i Dental Iberica, S.L.",2022-04-20
치과용임플란트고정체,(유)짐머바이오메트코리아,수허 21-245 호,20211021,수입,취소·취하,1,비대상,Biomet 3i Dental Iberica S.L,2022-04-20
치과용임플란트고정체,(주)제로스,제허 21-807 호,20210929,제조,정상,1,비대상,,
치과용 임플란트 고정체,이젠임플란트(주),제허 21-751 호,20210908,제조,정상,1,비대상,,
치과용 임플란트 고정체,스트라우만덴탈코리아(주),수허 21-216 호,20210907,수입,정상,1,비대상,Anthogyr SAS,
치과용임플란트고정체,(주)제이제이메디컬,제허 21-715 호,20210825,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)덴티스,제허 21-651 호,20210802,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)덴티스,제허 21-652 호,20210802,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)덴티스,제허 21-604 호,20210714,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)한국치과임플란트연구소(KDI),제허 21-579 호,20210708,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)해피엘,제허 21-528 호,20210628,제조,정상,1,비대상,(주)도세라,
치과용임플란트고정체,에이덴 주식회사,제허 21-482 호,20210616,제조,정상,1,비대상,,
치과용 임플란트 고정체,이젠임플란트(주),제허 21-383 호,20210514,제조,정상,1,비대상,,
치과용 임플란트 고정체,(유)인공장기연구소,제허 21-343 호,20210503,제조,정상,1,비대상,"(유)더브라이트, ㈜덴티움광교공장",
치과용 임플란트 고정체,오스템임플란트(주),제허 21-320 호,20210422,제조,정상,1,비대상,,
치과용임플란트고정체,(주)스누콘,제허 21-183 호,20210311,제조,정상,1,비대상,,
치과용임플란트고정체,(주)하이니스,제허 21-167 호,20210304,제조,정상,1,비대상,,
치과용임플란트고정체,(주)하이니스,제허 21-166 호,20210304,제조,정상,1,비대상,,
치과용임플란트고정체,(주)하이니스,제허 21-134 호,20210222,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)하이니스,제허 21-94 호,20210204,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)덴티스,제허 21-73 호,20210128,제조,정상,1,비대상,,
